battle_id,category,model,value
battle_00022,Creative Writing,chatgpt-4o-latest-20250326,0
battle_00023,Creative Writing,kimi-k2-0711-preview,1
battle_00023,Creative Writing,qwen3-235b-a22b-no-thinking,0
battle_00024,Creative Writing,chatgpt-4o-latest-20250326,1
battle_00024,Creative Writing,qwen3-235b-a22b-no-thinking,0
battle_00025,Creative Writing,grok-3-preview-02-24,1
battle_00025,Creative Writing,gemini-2.5-flash-preview-04-17,0
battle_00026,Creative Writing,qwen3-235b-a22b-no-thinking,1
battle_00026,Creative Writing,grok-3-preview-02-24,0
battle_00027,Creative Writing,gemini-2.5-pro,1
battle_00027,Creative Writing,o3-2025-04-16,0
battle_00028,Creative Writing,claude-opus-4-20250514,0
battle_00028,Creative Writing,gemini-2.5-pro-preview-05-06,1
battle_00029,Creative Writing,claude-opus-4-20250514-thinking-16k,1
battle_00029,Creative Writing,o3-2025-04-16,0
battle_00030,Creative Writing,gemini-2.5-flash,0
battle_00030,Creative Writing,claude-opus-4-20250514-thinking-16k,1
battle_00031,Creative Writing,grok-4-0709,1
battle_00031,Creative Writing,gemini-2.5-pro,0
battle_00032,Creative Writing,llama-4-maverick-03-26-experimental,0
battle_00032,Creative Writing,deepseek-r1-0528,1
battle_00033,Creative Writing,gemini-2.5-flash,0
battle_00033,Creative Writing,deepseek-r1-0528,1
battle_00034,Creative Writing,gemini-2.5-flash-preview-04-17,0
battle_00034,Creative Writing,gemini-2.5-pro-preview-05-06,1
battle_00035,Creative Writing,claude-opus-4-20250514,0
battle_00035,Creative Writing,grok-3-preview-02-24,1
battle_00036,Creative Writing,llama-4-maverick-03-26-experimental,1
battle_00036,Creative Writing,grok-3-preview-02-24,0
battle_00037,Creative Writing,gemini-2.5-flash,0
battle_00037,Creative Writing,deepseek-r1-0528,1
battle_00038,Creative Writing,grok-4-0709,1
battle_00038,Creative Writing,qwen3-235b-a22b-no-thinking,0
battle_00039,Creative Writing,gemini-2.5-pro,0
battle_00039,Creative Writing,deepseek-r1-0528,1
battle_00040,Creative Writing,o3-2025-04-16,0
battle_00040,Creative Writing,claude-opus-4-20250514,1
battle_00041,Creative Writing,gemini-2.5-pro,1
battle_00041,Creative Writing,o3-2025-04-16,0
battle_00042,Creative Writing,qwen3-235b-a22b-no-thinking,1
battle_00042,Creative Writing,grok-4-0709,0
battle_00043,Creative Writing,claude-opus-4-20250514-thinking-16k,1
battle_00043,Creative Writing,gemini-2.5-pro,0
battle_00044,Creative Writing,grok-3-preview-02-24,1
battle_00044,Creative Writing,llama-4-maverick-03-26-experimental,0
battle_00045,Creative Writing,gemini-2.5-pro,0
battle_00045,Creative Writing,deepseek-r1-0528,1
battle_00046,Creative Writing,deepseek-r1-0528,1
battle_00046,Creative Writing,qwen3-235b-a22b-no-thinking,0
battle_00047,Creative Writing,grok-3-preview-02-24,1
battle_00047,Creative Writing,gemini-2.5-pro-preview-05-06,0
battle_00048,Creative Writing,claude-opus-4-20250514-thinking-16k,1
battle_00048,Creative Writing,claude-opus-4-20250514,0
battle_00049,Creative Writing,chatgpt-4o-latest-20250326,1
battle_00049,Creative Writing,claude-opus-4-20250514,0
battle_00050,Creative Writing,o3-2025-04-16,0
battle_00050,Creative Writing,claude-opus-4-20250514-thinking-16k,1
battle_00051,Creative Writing,qwen3-235b-a22b-no-thinking,1
battle_00051,Creative Writing,o3-2025-04-16,0
battle_00052,Creative Writing,qwen3-235b-a22b-no-thinking,0
battle_00052,Creative Writing,gemini-2.5-pro,1
battle_00053,Creative Writing,deepseek-r1-0528,0
battle_00053,Creative Writing,gemini-2.5-flash,1
battle_00054,Creative Writing,claude-opus-4-20250514,1
battle_00054,Creative Writing,o3-2025-04-16,0
battle_00055,Creative Writing,claude-opus-4-20250514,1
battle_00055,Creative Writing,llama-4-maverick-03-26-experimental,0
battle_00056,Creative Writing,chatgpt-4o-latest-20250326,0
battle_00056,Creative Writing,deepseek-r1-0528,1
battle_00057,Creative Writing,claude-opus-4-20250514-thinking-16k,0
battle_00057,Creative Writing,gemini-2.5-flash-preview-04-17,1
battle_00058,Creative Writing,gemini-2.5-pro-preview-05-06,1
battle_00058,Creative Writing,gemini-2.5-pro,0
battle_00059,Creative Writing,claude-opus-4-20250514-thinking-16k,0
battle_00059,Creative Writing,grok-3-preview-02-24,1
battle_00060,Creative Writing,chatgpt-4o-latest-20250326,1
battle_00060,Creative Writing,deepseek-r1-0528,0
battle_00061,Creative Writing,gemini-2.5-flash,0
battle_00061,Creative Writing,gemini-2.5-pro,1
battle_00062,Creative Writing,gemini-2.5-pro-preview-05-06,1
battle_00062,Creative Writing,claude-opus-4-20250514,0
battle_00063,Creative Writing,qwen3-235b-a22b-no-thinking,1
battle_00063,Creative Writing,gemini-2.5-pro,0
battle_00064,Creative Writing,gemini-2.5-flash-preview-04-17,1
battle_00064,Creative Writing,gemini-2.5-flash,0
battle_00065,Creative Writing,llama-4-maverick-03-26-experimental,1
battle_00065,Creative Writing,kimi-k2-0711-preview,0
battle_00066,Creative Writing,o3-2025-04-16,0
battle_00066,Creative Writing,gemini-2.5-flash-preview-04-17,1
battle_00067,Creative Writing,gemini-2.5-pro,0
battle_00067,Creative Writing,grok-3-preview-02-24,1
battle_00068,Creative Writing,claude-opus-4-20250514-thinking-16k,0
battle_00068,Creative Writing,gemini-2.5-flash,1
battle_00069,Creative Writing,claude-opus-4-20250514-thinking-16k,1
battle_00069,Creative Writing,gemini-2.5-pro-preview-05-06,0
battle_00070,Creative Writing,claude-opus-4-20250514-thinking-16k,1
battle_00070,Creative Writing,chatgpt-4o-latest-20250326,0
battle_00071,Creative Writing,gemini-2.5-flash-preview-04-17,0
battle_00071,Creative Writing,gemini-2.5-pro,1
battle_00072,Creative Writing,gemini-2.5-flash-preview-04-17,1
battle_00072,Creative Writing,qwen3-235b-a22b-no-thinking,0
battle_00073,Creative Writing,grok-3-preview-02-24,1
battle_00073,Creative Writing,claude-opus-4-20250514-thinking-16k,0
battle_00074,Creative Writing,gemini-2.5-flash-preview-04-17,1
battle_00074,Creative Writing,qwen3-235b-a22b-no-thinking,0
battle_00075,Creative Writing,gemini-2.5-pro,1
battle_00075,Creative Writing,gemini-2.5-flash-preview-04-17,0
battle_00076,Creative Writing,o3-2025-04-16,1
battle_00076,Creative Writing,chatgpt-4o-latest-20250326,0
battle_00077,Creative Writing,gemini-2.5-pro,1
battle_00077,Creative Writing,deepseek-r1-0528,0
battle_00078,Creative Writing,qwen3-235b-a22b-no-thinking,0
battle_00078,Creative Writing,deepseek-r1-0528,1
battle_00079,Creative Writing,llama-4-maverick-03-26-experimental,0
battle_00079,Creative Writing,gemini-2.5-flash-preview-04-17,1
battle_00080,Creative Writing,claude-opus-4-20250514,1
battle_00080,Creative Writing,gemini-2.5-flash,0
battle_00081,Creative Writing,claude-opus-4-20250514,0
battle_00081,Creative Writing,gemini-2.5-flash,1
battle_00082,Creative Writing,grok-4-0709,0
battle_00082,Creative Writing,llama-4-maverick-03-26-experimental,1
battle_00083,Creative Writing,claude-opus-4-20250514-thinking-16k,0
battle_00083,Creative Writing,deepseek-r1-0528,1
battle_00084,Creative Writing,qwen3-235b-a22b-no-thinking,0
battle_00084,Creative Writing,gemini-2.5-pro,1
battle_00085,Creative Writing,qwen3-235b-a22b-no-thinking,0
battle_00085,Creative Writing,grok-3-preview-02-24,1
battle_00086,Creative Writing,llama-4-maverick-03-26-experimental,1
battle_00086,Creative Writing,qwen3-235b-a22b-no-thinking,0
battle_00087,Creative Writing,gemini-2.5-pro,1
battle_00087,Creative Writing,qwen3-235b-a22b-no-thinking,0
battle_00088,Creative Writing,claude-opus-4-20250514,0
battle_00088,Creative Writing,qwen3-235b-a22b-no-thinking,1
battle_00089,Creative Writing,deepseek-r1-0528,1
battle_00089,Creative Writing,chatgpt-4o-latest-20250326,0
battle_00090,Creative Writing,gemini-2.5-pro,1
battle_00090,Creative Writing,claude-opus-4-20250514,0
battle_00091,Creative Writing,kimi-k2-0711-preview,0
battle_00091,Creative Writing,o3-2025-04-16,1
battle_00092,Creative Writing,claude-opus-4-20250514,1
battle_00092,Creative Writing,o3-2025-04-16,0
battle_00093,Creative Writing,o3-2025-04-16,1
battle_00093,Creative Writing,gemini-2.5-pro-preview-03-25,0
battle_00094,Creative Writing,llama-4-maverick-03-26-experimental,0
battle_00094,Creative Writing,deepseek-r1-0528,1
battle_00095,Creative Writing,gemini-2.5-flash-preview-04-17,0
battle_00095,Creative Writing,o3-2025-04-16,1
battle_00096,Creative Writing,claude-opus-4-20250514-thinking-16k,1
battle_00096,Creative Writing,claude-opus-4-20250514,0
battle_00097,Creative Writing,llama-4-maverick-03-26-experimental,0
battle_00097,Creative Writing,claude-opus-4-20250514-thinking-16k,1
battle_00098,Creative Writing,grok-3-preview-02-24,0
battle_00098,Creative Writing,llama-4-maverick-03-26-experimental,1
battle_00099,Creative Writing,gemini-2.5-pro,0
battle_00099,Creative Writing,qwen3-235b-a22b-no-thinking,1
battle_00100,Creative Writing,qwen3-235b-a22b-no-thinking,0
battle_00100,Creative Writing,chatgpt-4o-latest-20250326,1
battle_00101,Creative Writing,gemini-2.5-pro,1
battle_00101,Creative Writing,claude-opus-4-20250514,0
battle_00102,Creative Writing,qwen3-235b-a22b-no-thinking,1
battle_00102,Creative Writing,gemini-2.5-pro,0
battle_00103,Creative Writing,gemini-2.5-pro,0
battle_00103,Creative Writing,llama-4-maverick-03-26-experimental,1
battle_00104,Creative Writing,gemini-2.5-pro,1
battle_00104,Creative Writing,claude-opus-4-20250514,0
battle_00105,Creative Writing,gemini-2.5-flash,0
battle_00105,Creative Writing,claude-opus-4-20250514,1
battle_00106,Creative Writing,gemini-2.5-pro-preview-05-06,0
battle_00106,Creative Writing,gemini-2.5-flash,1
battle_00107,Creative Writing,gemini-2.5-flash-preview-04-17,0
battle_00107,Creative Writing,claude-opus-4-20250514-thinking-16k,1
battle_00108,Creative Writing,claude-opus-4-20250514-thinking-16k,0
battle_00108,Creative Writing,llama-4-maverick-03-26-experimental,1
battle_00109,Creative Writing,deepseek-r1-0528,0
battle_00109,Creative Writing,claude-opus-4-20250514-thinking-16k,1
battle_00110,Creative Writing,claude-opus-4-20250514,0
battle_00110,Creative Writing,gemini-2.5-pro,1
battle_00111,Creative Writing,qwen3-235b-a22b-no-thinking,1
battle_00111,Creative Writing,kimi-k2-0711-preview,0
battle_00112,Creative Writing,gemini-2.5-pro,0
battle_00112,Creative Writing,grok-3-preview-02-24,1
battle_00113,Creative Writing,claude-opus-4-20250514-thinking-16k,0
battle_00113,Creative Writing,gemini-2.5-flash-preview-04-17,1
battle_00114,Creative Writing,qwen3-235b-a22b-no-thinking,0
battle_00114,Creative Writing,deepseek-r1-0528,1
battle_00115,Creative Writing,gemini-2.5-flash-preview-04-17,1
battle_00115,Creative Writing,llama-4-maverick-03-26-experimental,0
battle_00116,Creative Writing,gemini-2.5-pro,1
battle_00116,Creative Writing,llama-4-maverick-03-26-experimental,0
battle_00117,Creative Writing,gemini-2.5-pro-preview-03-25,1
battle_00117,Creative Writing,grok-3-preview-02-24,0
battle_00118,Creative Writing,gemini-2.5-pro,1
battle_00118,Creative Writing,llama-4-maverick-03-26-experimental,0
battle_00119,Creative Writing,llama-4-maverick-03-26-experimental,1
battle_00119,Creative Writing,claude-opus-4-20250514,0
battle_00120,Creative Writing,o3-2025-04-16,1
battle_00120,Creative Writing,gemini-2.5-flash,0
battle_00121,Creative Writing,qwen3-235b-a22b-no-thinking,0
battle_00121,Creative Writing,chatgpt-4o-latest-20250326,1
battle_00122,Creative Writing,qwen3-235b-a22b-no-thinking,0
battle_00122,Creative Writing,deepseek-r1-0528,1
battle_00123,Creative Writing,gemini-2.5-flash,0
battle_00123,Creative Writing,claude-opus-4-20250514,1
battle_00124,Creative Writing,deepseek-r1-0528,0
battle_00124,Creative Writing,gemini-2.5-pro,1
battle_00125,Creative Writing,gemini-2.5-pro,0
battle_00125,Creative Writing,gemini-2.5-flash,1
battle_00126,Creative Writing,deepseek-r1-0528,1
battle_00126,Creative Writing,gemini-2.5-pro-preview-05-06,0
battle_00127,Creative Writing,claude-opus-4-20250514,0
battle_00127,Creative Writing,gemini-2.5-pro,1
battle_00128,Creative Writing,gemini-2.5-pro-preview-05-06,1
battle_00128,Creative Writing,claude-opus-4-20250514,0
battle_00129,Creative Writing,chatgpt-4o-latest-20250326,1
battle_00129,Creative Writing,claude-opus-4-20250514,0
battle_00130,Creative Writing,grok-4-0709,0
battle_00130,Creative Writing,gemini-2.5-pro,1
battle_00131,Creative Writing,gemini-2.5-flash,1
battle_00131,Creative Writing,llama-4-maverick-03-26-experimental,0
battle_00132,Creative Writing,qwen3-235b-a22b-no-thinking,0
battle_00132,Creative Writing,gemini-2.5-flash-preview-04-17,1
battle_00133,Creative Writing,chatgpt-4o-latest-20250326,1
battle_00133,Creative Writing,o3-2025-04-16,0
battle_00134,Creative Writing,qwen3-235b-a22b-no-thinking,0
battle_00134,Creative Writing,grok-3-preview-02-24,1
battle_00135,Creative Writing,claude-opus-4-20250514,1
battle_00135,Creative Writing,gemini-2.5-flash,0
battle_00136,Creative Writing,gemini-2.5-pro-preview-03-25,1
battle_00136,Creative Writing,gemini-2.5-flash-preview-04-17,0
battle_00137,Creative Writing,gemini-2.5-flash,0
battle_00137,Creative Writing,gemini-2.5-flash-preview-04-17,1
battle_00138,Creative Writing,qwen3-235b-a22b-no-thinking,0
battle_00138,Creative Writing,deepseek-r1-0528,1
battle_00139,Creative Writing,gemini-2.5-pro-preview-05-06,1
battle_00139,Creative Writing,claude-opus-4-20250514,0
battle_00140,Creative Writing,claude-opus-4-20250514-thinking-16k,1
battle_00140,Creative Writing,o3-2025-04-16,0
battle_00141,Creative Writing,gemini-2.5-pro,1
battle_00141,Creative Writing,qwen3-235b-a22b-no-thinking,0
battle_00142,Creative Writing,qwen3-235b-a22b-no-thinking,0
battle_00142,Creative Writing,deepseek-r1-0528,1
battle_00143,Creative Writing,grok-4-0709,1
battle_00143,Creative Writing,kimi-k2-0711-preview,0
battle_00144,Creative Writing,chatgpt-4o-latest-20250326,0
battle_00144,Creative Writing,gemini-2.5-flash,1
battle_00145,Creative Writing,gemini-2.5-pro-preview-05-06,0
battle_00145,Creative Writing,gemini-2.5-flash,1
battle_00146,Creative Writing,gemini-2.5-pro-preview-03-25,1
battle_00146,Creative Writing,grok-3-preview-02-24,0
battle_00147,Creative Writing,deepseek-r1-0528,1
battle_00147,Creative Writing,gemini-2.5-flash-preview-04-17,0
battle_00148,Creative Writing,grok-4-0709,1
battle_00148,Creative Writing,claude-opus-4-20250514,0
battle_00149,Creative Writing,gemini-2.5-pro-preview-05-06,1
battle_00149,Creative Writing,llama-4-maverick-03-26-experimental,0
battle_00150,Creative Writing,qwen3-235b-a22b-no-thinking,1
battle_00150,Creative Writing,claude-opus-4-20250514,0
battle_00151,Creative Writing,claude-opus-4-20250514,1
battle_00151,Creative Writing,gemini-2.5-flash,0
battle_00152,Creative Writing,gemini-2.5-pro-preview-03-25,1
battle_00152,Creative Writing,grok-3-preview-02-24,0
battle_00153,Creative Writing,claude-opus-4-20250514,0
battle_00153,Creative Writing,gemini-2.5-pro-preview-05-06,1
battle_00154,Creative Writing,chatgpt-4o-latest-20250326,1
battle_00154,Creative Writing,grok-4-0709,0
battle_00155,Creative Writing,gemini-2.5-pro,1
battle_00155,Creative Writing,o3-2025-04-16,0
battle_00156,Creative Writing,qwen3-235b-a22b-no-thinking,1
battle_00156,Creative Writing,gemini-2.5-flash,0
battle_00157,Creative Writing,grok-3-preview-02-24,1
battle_00157,Creative Writing,gemini-2.5-pro,0
battle_00158,Creative Writing,qwen3-235b-a22b-no-thinking,0
battle_00158,Creative Writing,llama-4-maverick-03-26-experimental,1
battle_00159,Creative Writing,claude-opus-4-20250514-thinking-16k,0
battle_00159,Creative Writing,claude-opus-4-20250514,1
battle_00160,Creative Writing,claude-opus-4-20250514-thinking-16k,1
battle_00160,Creative Writing,grok-3-preview-02-24,0
battle_00161,Creative Writing,claude-opus-4-20250514-thinking-16k,1
battle_00161,Creative Writing,o3-2025-04-16,0
battle_00162,Creative Writing,grok-3-preview-02-24,0
battle_00162,Creative Writing,deepseek-r1-0528,1
battle_00163,Creative Writing,gemini-2.5-pro,0
battle_00163,Creative Writing,llama-4-maverick-03-26-experimental,1
battle_00164,Creative Writing,o3-2025-04-16,0
battle_00164,Creative Writing,gemini-2.5-pro-preview-03-25,1
battle_00165,Creative Writing,deepseek-r1-0528,1
battle_00165,Creative Writing,gemini-2.5-flash-preview-04-17,0
battle_00166,Creative Writing,claude-opus-4-20250514-thinking-16k,1
battle_00166,Creative Writing,gemini-2.5-flash,0
battle_00167,Creative Writing,chatgpt-4o-latest-20250326,1
battle_00167,Creative Writing,grok-3-preview-02-24,0
battle_00168,Creative Writing,llama-4-maverick-03-26-experimental,1
battle_00168,Creative Writing,qwen3-235b-a22b-no-thinking,0
battle_00169,Creative Writing,gemini-2.5-flash-preview-04-17,0
battle_00169,Creative Writing,claude-opus-4-20250514,1
battle_00170,Creative Writing,deepseek-r1-0528,0
battle_00170,Creative Writing,claude-opus-4-20250514,1
battle_00171,Creative Writing,gemini-2.5-pro,1
battle_00171,Creative Writing,qwen3-235b-a22b-no-thinking,0
battle_00172,Creative Writing,chatgpt-4o-latest-20250326,1
battle_00172,Creative Writing,gemini-2.5-pro-preview-03-25,0
battle_00173,Creative Writing,o3-2025-04-16,1
battle_00173,Creative Writing,gemini-2.5-flash,0
battle_00174,Creative Writing,claude-opus-4-20250514,1
battle_00174,Creative Writing,o3-2025-04-16,0
battle_00175,Creative Writing,claude-opus-4-20250514,1
battle_00175,Creative Writing,gemini-2.5-flash,0
battle_00176,Creative Writing,gemini-2.5-flash,0
battle_00176,Creative Writing,o3-2025-04-16,1
battle_00177,Creative Writing,chatgpt-4o-latest-20250326,1
battle_00177,Creative Writing,gemini-2.5-pro,0
battle_00178,Creative Writing,claude-opus-4-20250514-thinking-16k,0
battle_00178,Creative Writing,o3-2025-04-16,1
battle_00179,Creative Writing,claude-opus-4-20250514-thinking-16k,0
battle_00179,Creative Writing,qwen3-235b-a22b-no-thinking,1
battle_00180,Creative Writing,claude-opus-4-20250514,0
battle_00180,Creative Writing,qwen3-235b-a22b-no-thinking,1
battle_00181,Creative Writing,o3-2025-04-16,1
battle_00181,Creative Writing,claude-opus-4-20250514-thinking-16k,0
battle_00182,Creative Writing,qwen3-235b-a22b-no-thinking,1
battle_00182,Creative Writing,o3-2025-04-16,0
battle_00183,Creative Writing,gemini-2.5-pro-preview-05-06,0
battle_00183,Creative Writing,o3-2025-04-16,1
battle_00184,Creative Writing,qwen3-235b-a22b-no-thinking,1
battle_00184,Creative Writing,gemini-2.5-pro,0
battle_00185,Creative Writing,qwen3-235b-a22b-no-thinking,1
battle_00185,Creative Writing,gemini-2.5-flash,0
battle_00186,Creative Writing,o3-2025-04-16,1
battle_00186,Creative Writing,gemini-2.5-flash,0
battle_00187,Creative Writing,chatgpt-4o-latest-20250326,0
battle_00187,Creative Writing,claude-opus-4-20250514,1
battle_00188,Creative Writing,gemini-2.5-pro,1
battle_00188,Creative Writing,gemini-2.5-flash,0
battle_00189,Creative Writing,gemini-2.5-flash,0
battle_00189,Creative Writing,qwen3-235b-a22b-no-thinking,1
battle_00190,Creative Writing,gemini-2.5-pro,1
battle_00190,Creative Writing,llama-4-maverick-03-26-experimental,0
battle_00191,Creative Writing,o3-2025-04-16,1
battle_00191,Creative Writing,gemini-2.5-flash,0
battle_00192,Creative Writing,gemini-2.5-flash,1
battle_00192,Creative Writing,claude-opus-4-20250514-thinking-16k,0
battle_00193,Creative Writing,llama-4-maverick-03-26-experimental,1
battle_00193,Creative Writing,qwen3-235b-a22b-no-thinking,0
battle_00194,Creative Writing,claude-opus-4-20250514,0
battle_00194,Creative Writing,qwen3-235b-a22b-no-thinking,1
battle_00195,Creative Writing,llama-4-maverick-03-26-experimental,0
battle_00195,Creative Writing,chatgpt-4o-latest-20250326,1
battle_00196,Creative Writing,o3-2025-04-16,1
battle_00196,Creative Writing,grok-4-0709,0
battle_00197,Creative Writing,o3-2025-04-16,1
battle_00197,Creative Writing,llama-4-maverick-03-26-experimental,0
battle_00198,Creative Writing,chatgpt-4o-latest-20250326,1
battle_00198,Creative Writing,o3-2025-04-16,0
battle_00199,Creative Writing,gemini-2.5-pro,1
battle_00199,Creative Writing,chatgpt-4o-latest-20250326,0
battle_00200,Creative Writing,claude-opus-4-20250514,0
battle_00200,Creative Writing,gemini-2.5-flash,1
battle_00201,Creative Writing,gemini-2.5-pro,0
battle_00201,Creative Writing,deepseek-r1-0528,1
battle_00202,Creative Writing,gemini-2.5-pro-preview-05-06,0
battle_00202,Creative Writing,deepseek-r1-0528,1
battle_00203,Creative Writing,o3-2025-04-16,0
battle_00203,Creative Writing,claude-opus-4-20250514-thinking-16k,1
battle_00204,Creative Writing,gemini-2.5-pro-preview-05-06,0
battle_00204,Creative Writing,qwen3-235b-a22b-no-thinking,1
battle_00205,Creative Writing,gemini-2.5-pro-preview-05-06,1
battle_00205,Creative Writing,claude-opus-4-20250514,0
battle_00206,Creative Writing,o3-2025-04-16,0
battle_00206,Creative Writing,gemini-2.5-pro-preview-05-06,1
battle_00207,Creative Writing,grok-3-preview-02-24,0
battle_00207,Creative Writing,gemini-2.5-pro,1
battle_00208,Creative Writing,deepseek-r1-0528,0
battle_00208,Creative Writing,gemini-2.5-flash,1
battle_00209,Creative Writing,llama-4-maverick-03-26-experimental,1
battle_00209,Creative Writing,qwen3-235b-a22b-no-thinking,0
battle_00210,Creative Writing,chatgpt-4o-latest-20250326,1
battle_00210,Creative Writing,gemini-2.5-pro-preview-03-25,0
battle_00211,Creative Writing,deepseek-r1-0528,1
battle_00211,Creative Writing,gemini-2.5-pro,0
battle_00212,Creative Writing,chatgpt-4o-latest-20250326,0
battle_00212,Creative Writing,gemini-2.5-pro-preview-05-06,1
battle_00213,Creative Writing,gemini-2.5-flash-preview-04-17,1
battle_00213,Creative Writing,chatgpt-4o-latest-20250326,0
battle_00214,Creative Writing,gemini-2.5-flash-preview-04-17,1
battle_00214,Creative Writing,o3-2025-04-16,0
battle_00215,Creative Writing,grok-4-0709,0
battle_00215,Creative Writing,deepseek-r1-0528,1
battle_00216,Creative Writing,claude-opus-4-20250514,1
battle_00216,Creative Writing,gemini-2.5-flash,0
battle_00217,Creative Writing,grok-3-preview-02-24,1
battle_00217,Creative Writing,deepseek-r1-0528,0
battle_00218,Creative Writing,deepseek-r1-0528,1
battle_00218,Creative Writing,kimi-k2-0711-preview,0
battle_00219,Creative Writing,grok-3-preview-02-24,1
battle_00219,Creative Writing,qwen3-235b-a22b-no-thinking,0
battle_00220,Creative Writing,grok-4-0709,1
battle_00220,Creative Writing,gemini-2.5-flash,0
battle_00221,Creative Writing,gemini-2.5-pro,0
battle_00221,Creative Writing,gemini-2.5-flash-preview-04-17,1
battle_00222,Creative Writing,grok-3-preview-02-24,1
battle_00222,Creative Writing,gemini-2.5-pro,0
battle_00223,Creative Writing,chatgpt-4o-latest-20250326,1
battle_00223,Creative Writing,llama-4-maverick-03-26-experimental,0
battle_00224,Creative Writing,gemini-2.5-pro,1
battle_00224,Creative Writing,qwen3-235b-a22b-no-thinking,0
battle_00225,Creative Writing,claude-opus-4-20250514-thinking-16k,0
battle_00225,Creative Writing,gemini-2.5-flash-preview-04-17,1
battle_00226,Creative Writing,qwen3-235b-a22b-no-thinking,0
battle_00226,Creative Writing,gemini-2.5-flash,1
battle_00227,Creative Writing,o3-2025-04-16,1
battle_00227,Creative Writing,deepseek-r1-0528,0
battle_00228,Creative Writing,claude-opus-4-20250514-thinking-16k,1
battle_00228,Creative Writing,gemini-2.5-pro,0
battle_00229,Creative Writing,grok-3-preview-02-24,1
battle_00229,Creative Writing,o3-2025-04-16,0
battle_00230,Creative Writing,deepseek-r1-0528,1
battle_00230,Creative Writing,o3-2025-04-16,0
battle_00231,Creative Writing,claude-opus-4-20250514,1
battle_00231,Creative Writing,gemini-2.5-pro,0
battle_00232,Creative Writing,gemini-2.5-pro,1
battle_00232,Creative Writing,chatgpt-4o-latest-20250326,0
battle_00233,Creative Writing,grok-3-preview-02-24,0
battle_00233,Creative Writing,llama-4-maverick-03-26-experimental,1
battle_00234,Creative Writing,gemini-2.5-flash-preview-04-17,1
battle_00234,Creative Writing,deepseek-r1-0528,0
battle_00235,Creative Writing,claude-opus-4-20250514-thinking-16k,1
battle_00235,Creative Writing,gemini-2.5-pro-preview-05-06,0
battle_00236,Creative Writing,claude-opus-4-20250514-thinking-16k,0
battle_00236,Creative Writing,deepseek-r1-0528,1
battle_00237,Creative Writing,qwen3-235b-a22b-no-thinking,0
battle_00237,Creative Writing,gemini-2.5-pro,1
battle_00238,Creative Writing,claude-opus-4-20250514,0
battle_00238,Creative Writing,gemini-2.5-flash-preview-04-17,1
battle_00239,Creative Writing,gemini-2.5-flash,0
battle_00239,Creative Writing,gemini-2.5-pro-preview-05-06,1
battle_00240,Creative Writing,grok-3-preview-02-24,0
battle_00240,Creative Writing,deepseek-r1-0528,1
battle_00241,Creative Writing,chatgpt-4o-latest-20250326,1
battle_00241,Creative Writing,grok-3-preview-02-24,0
